product_id,month,units_sold,average_price,previous_sales,rolling_sales_3_month,product_category_name,product_weight_g,month_date
2d27434c710806b971a721da337a112a,2017-07-01,1,39.0,,,relogios_presentes,200.0,2017-07-01
2d31f67b1edd83be73d1448bc1f1a7c7,2018-03-01,2,24.9,,,dvds_blu_ray,150.0,2018-03-01
2d4086091519b04cd687a38e33dc276c,2017-04-01,1,125.0,,,informatica_acessorios,200.0,2017-04-01
2d5bb6fc16b9fb75539ddcd93de86aa4,2017-06-01,1,89.9,,,brinquedos,500.0,2017-06-01
2d6540e715ca18c58c4aafd86c172aa1,2018-03-01,1,285.0,,,instrumentos_musicais,3050.0,2018-03-01
2d80845a6f78e68221e4965655a9a9b8,2018-03-01,1,89.9,,,eletrodomesticos,150.0,2018-03-01
2ddbeb76f134690c05636162f2558594,2018-01-01,1,21.1,,,unknown,1400.0,2018-01-01
2ddf9184f8aad1f832fdf5ecd1e53a17,2018-02-01,1,45.9,,,perfumaria,650.0,2018-02-01
2de2a40099e05d5f0e47d69623a3c178,2018-02-01,1,140.0,,,eletroportateis,1800.0,2018-02-01
2e0e1e610098039f2eee73b65de098b4,2017-09-01,1,519.0,,,relogios_presentes,429.0,2017-09-01
2e511b5741ab14e7f5294df6f1310b03,2018-03-01,1,110.0,,,informatica_acessorios,188.0,2018-03-01
2e64d11879c5bbda600381dbb5452a38,2017-12-01,1,81.9,,,beleza_saude,1350.0,2017-12-01
2e64d11879c5bbda600381dbb5452a38,2018-01-01,1,81.9,1.0,1.0,beleza_saude,1350.0,2018-01-01
2e6f3959fac9a271f1d1610c30d4b95c,2018-02-01,1,59.0,,1.0,relogios_presentes,200.0,2018-02-01
2e7980421ad7946eab8a71b637955704,2017-09-01,1,79.9,,1.0,utilidades_domesticas,2300.0,2017-09-01
2e810f124ff7668bc1ea0d1953aaacd2,2017-12-01,1,199.9,,,relogios_presentes,337.0,2017-12-01
2ea69b98f8a98247adf9aaba9367bddf,2018-01-01,1,51.9,,,automotivo,100.0,2018-01-01
2ea92fab7565c4fe9f91a5e4e1756258,2017-03-01,1,69.9,,,papelaria,10600.0,2017-03-01
2eb6e8f39feaf75fc5163f774d38f0f1,2017-01-01,1,69.5,,,pet_shop,467.0,2017-01-01
2ec00000248555d06c4dc55425cfa871,2017-11-01,1,599.9,,,brinquedos,925.0,2017-11-01
2f1507d615de7f4f0e73e3be811ee6bc,2017-04-01,1,199.0,,,perfumaria,600.0,2017-04-01
2f1927c926303d27159849d2601d5d96,2017-09-01,1,104.9,,,esporte_lazer,650.0,2017-09-01
2f5e485bacfeb554bec55cd497c9bc51,2017-12-01,2,45.99,,,utilidades_domesticas,236.0,2017-12-01
2f5e485bacfeb554bec55cd497c9bc51,2018-02-01,1,49.99,2.0,2.0,utilidades_domesticas,236.0,2018-02-01
2fe0cccc00239f01484b97ba65408800,2017-11-01,1,114.9,,2.0,cama_mesa_banho,967.0,2017-11-01
2feb7008fdbbf5e65a885a1e5fbd49d1,2017-12-01,1,190.0,,2.0,esporte_lazer,1350.0,2017-12-01
2ffdf10e724b958c0f7ea69e97d32f64,2017-11-01,1,198.0,,,relogios_presentes,263.0,2017-11-01
2ffdf10e724b958c0f7ea69e97d32f64,2017-12-01,1,229.0,1.0,1.0,relogios_presentes,263.0,2017-12-01
2ffdf10e724b958c0f7ea69e97d32f64,2018-01-01,2,213.9,1.0,1.0,relogios_presentes,263.0,2018-01-01
2ffdf10e724b958c0f7ea69e97d32f64,2018-02-01,1,224.9,2.0,1.3333333333333333,relogios_presentes,263.0,2018-02-01
30011d8ee44c9842921cbc7c1445544e,2017-09-01,1,192.0,,1.5,fashion_underwear_e_moda_praia,400.0,2017-09-01
